Site/Year,Case #,Tag/ID,Other ID,Gender,L/H,L/H,APH01,APH01,APH02,APH02,APH08,APH08,APH09,APH09,APH13,APH13,APH18,APH18,APH19,APH19,APH20,APH20,APH23,APH23,APH25,APH25,APL02,APL02,APL23,APL23,BCA05,BCA05,CM28,CM28,CM35,CM35,SFI04,SFI04,SMO04,SMO04,SMO07,SMO07,SMO10,SMO10
Russelll Ranch,WDR1,4676,D0001,F,W,Z1,206,206,102,110,111,111,96,96,172,174,259,259,162,164,144,148,184,188,187,189,108,108,104,118,171,171,250,253,230,251,142,144,216,264,186,186,95,97
Russell Ranch,WDR2,4677,D0002,F,W,Z1,206,206,102,110,109,111,96,96,171,172,259,259,162,162,143,144,188,188,187,189,108,108,118,118,171,171,250,253,230,251,142,142,216,264,186,186,95,97
Russell Ranch,WDR3,4678,D0003,F,W,Z1,206,206,106,110,109,111,96,96,171,174,259,261,162,164,148,148,184,188,187,189,108,108,118,118,171,171,226,250,221,242,142,144,224,264,186,186,95,97
Russell Ranch,WDR4,4679,D0004,M,Z1,Z1,206,206,106,110,109,111,96,96,171,174,259,259,162,162,143,148,188,188,187,187,108,108,104,118,171,171,223,226,221,251,142,142,224,264,186,186,95,97
Russell Ranch,WDR5,4680,D0005,F,W,Z1,206,206,102,110,111,111,96,96,171,174,259,259,162,164,143,148,188,188,187,187,108,108,104,118,171,171,223,226,221,251,142,144,224,264,186,186,93,97
Russell Ranch,WDR6,4681,D0006,M,Z1,Z1,206,206,106,112,111,111,96,96,174,174,259,261,162,164,143,148,184,184,187,187,108,110,118,118,171,171,226,250,221,251,142,144,224,264,186,186,95,97
Russell Ranch,WDR7,4682,D0007,F,W,Z1,206,206,106,110,109,111,96,96,171,174,259,259,162,164,144,148,184,188,187,187,108,108,104,118,171,171,223,226,221,242,142,144,224,406,186,186,93,97
Russell Ranch,WDR8,4683,D0008,F,W,Z1,206,206,106,110,111,111,96,96,172,174,259,261,162,164,148,148,188,188,187,187,108,108,118,118,171,171,223,226,221,242,142,142,224,406,186,186,95,97
Russell Ranch,WDR9,4684,D0009,M,Z1,Z1,204,206,102,106,109,109,96,96,170,172,259,261,164,164,143,148,188,192,191,191,108,108,112,118,171,174,217,244,236,251,144,144,212,224,186,186,101,93
Russell Ranch,WDR10,4685,D0010,M,Z1,Z1,206,206,106,110,111,111,96,96,171,172,259,261,162,162,143,148,184,184,187,189,108,110,104,118,171,171,223,226,221,242,142,142,224,406,186,186,93,97
Russell Ranch,WDR11,4686,D0011,M,Z1,Z1,206,206,106,110,109,111,96,96,171,172,259,261,162,162,143,148,188,188,187,187,108,108,104,118,171,171,223,226,230,251,142,142,216,264,186,186,95,97
Russell Ranch,WDR12,4687,D0012,M,Z1,Z1,206,206,102,102,109,111,96,96,170,171,259,259,164,164,143,144,188,192,191,191,108,108,118,118,171,174,214,217,230,242,142,144,162,224,186,188,101,93
Russell Ranch,WDR13,4688,D0013,F,W,Z1,206,206,102,102,109,111,96,96,171,174,259,261,162,164,143,148,184,188,191,191,108,108,112,118,171,171,241,244,230,236,142,144,162,224,186,188,93,93
Russell Ranch,WDR14,4689,D0014,M,Z1,Z1,204,206,102,106,109,111,96,96,170,172,259,259,164,164,143,148,188,192,191,191,108,108,118,118,171,171,217,244,242,251,144,144,166,212,186,188,93,93
Russell Ranch,WDR15,4566,D0015,F,W,Z1,204,204,106,106,109,109,96,96,171,171,259,259,162,166,143,145,184,192,191,191,108,110,114,118,171,171,220,256,230,242,142,144,224,406,188,188,93,93
Russell Ranch,WDR16,4567,D0016,F,W,Z1,204,204,102,106,109,109,96,96,171,171,259,259,162,162,144,148,184,192,187,191,108,110,114,114,171,171,211,220,242,245,144,144,166,180,186,188,93,93
Russell Ranch,WDR17,4568,D0017,F,W,Z1,204,204,102,108,109,109,96,96,171,171,259,259,162,162,143,144,184,188,191,191,108,110,114,114,171,171,235,256,230,245,142,144,180,406,186,188,93,93
Russell Ranch,WDR18,4569,D0018,M,Z1,Z1,204,206,106,106,109,109,96,96,171,171,259,259,162,162,145,148,184,192,189,191,108,110,118,118,171,171,235,256,242,245,144,144,166,180,188,188,93,93
Russell Ranch,WDR19,4570,D0019,F,W,Z1,204,204,106,106,109,109,96,96,171,171,259,259,162,162,143,145,184,192,191,191,108,110,114,118,171,171,235,256,230,242,142,144,224,406,186,188,93,93
Russell Ranch,WDR20,4571,D0020,M,Z1,Z1,206,206,102,112,109,111,96,96,171,174,259,261,162,162,143,148,184,188,187,187,108,110,118,118,171,171,223,226,221,251,142,144,224,264,186,186,93,97
Russell Ranch,WDR21,4572,D0021,M,Z1,Z1,204,206,106,108,109,109,96,96,170,171,259,259,162,166,144,148,184,188,191,191,108,110,114,118,171,171,235,256,242,245,142,144,166,180,188,188,93,93
Russell Ranch,WDR22,4573,D0022,M,Z1,Z1,204,206,102,108,109,109,96,96,171,171,259,259,162,166,143,144,184,188,189,191,108,110,114,118,171,171,220,256,230,245,142,144,180,406,186,188,93,93
Russell Ranch,WDR23,4548,D0023,M,Z1,Z1,206,206,106,110,111,111,96,96,171,174,259,259,162,164,144,148,184,188,187,189,108,108,118,118,171,171,250,253,221,251,142,144,224,264,186,186,95,97
Russell Ranch,WDR24,4549,D0024,M,Z1,Z1,204,204,102,106,109,109,96,96,170,171,259,259,162,166,145,148,184,192,191,191,108,110,114,118,171,171,220,256,242,242,142,144,166,224,188,188,93,93
Russell Ranch,WDR25,4550,D0025,M,Z1,Z1,206,206,102,112,109,111,96,96,171,172,259,261,162,162,144,148,184,188,187,187,108,110,118,118,171,171,223,253,230,242,142,142,216,406,186,186,95,97
Russell Ranch,WDR26,4574,D0026,M,Z1,Z1,206,206,102,110,109,111,96,96,171,174,259,261,162,162,144,148,184,184,187,187,108,110,104,118,171,171,223,253,230,242,142,142,216,406,186,186,95,97
